energy,xp0,xp1,yp0,yp1,yp2
1000,0.0325032,5.81897e-05,0.0380673,9.18402e-06,-7.12998e-07
2000,0.664703,0.000268984,0.720299,-7.24534e-05,-1.19415e-05
1000,0.0325032,5.81897e-05,0.0380673,9.18402e-06,-7.12998e-07
3000,1.83493,0.000569759,2.03071,-0.000872436,-3.77283e-05
4000,3.25583,-2.87781e-05,3.35537,6.4597e-05,-2.61931e-05
5000,4.34997,0.00252794,4.64361,-0.00141612,-5.65787e-05
6000,5.83171,0.00972787,5.98878,-0.00104332,-4.09446e-05
7000,7.62846,0.00426204,8.04478,-0.000292948,-8.13441e-05
8000,9.8956,0.00675217,10.3159,0.00146602,-9.63828e-05
9000,11.0889,0.00751149,11.8324,-0.00388285,-0.000106202
10000,13.8775,0.00984104,14.9472,0.00143721,-0.000206724
11000,15.6238,0.0224891,16.3091,-0.00900119,-0.000160528
